11,13,14,15,19,20,22,23,24,26,29,30,101,102,103,104,105,106,108,110,114,115,118
,,,,,,,,,,,,,,,,,,,,0.0,0.0,
,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,
0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,
,,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,,0.0,,0.0
0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,
,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,,,,,,
0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,
,,,,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,0.0,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,0.0,,60.0,,51.0,,48.0,,24.0,107.0,18.0,,65.0,156.0,34.0,64.0,32.0,38.0,,90.0,14.0,10.0
16.0,,,41.0,10.0,,,,,9.0,,4.0,5.0,,,,7.0,,15.0,,42.0,17.0,6.0
16.0,,,81.0,,6.0,,22.0,,,,,,,39.0,,11.0,,,,29.0,,
,27.0,,44.0,,,,38.0,,26.0,,4.0,,55.0,58.0,,17.0,,18.0,,32.0,66.0,40.0
,,,,,4.0,,,17.0,,27.0,1.0,,,,,,,,,11.0,,4.0
,,,18.0,,,,,,29.0,9.0,,3.0,15.0,,,11.0,,,,17.0,,9.0
,39.0,,69.0,53.0,,14.0,38.0,,27.0,27.0,,10.0,33.0,,14.0,,,,,,28.0,
,,,,25.0,,,,,,16.0,1.0,,,,41.0,,14.0,,36.0,21.0,,
0.0,,2.0,4.0,2.0,2.0,4.0,2.0,18.0,2.0,4.0,,,,,,,,,,,,
,8.0,2.0,4.0,,6.0,,,0.0,6.0,,,,,,,,,,,,,
,,2.0,6.0,4.0,4.0,2.0,2.0,,8.0,,,,,,,,,,,,,
4.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41.0,0.0,0.0,,,,27.0,,,,,,,,,,,,,,,,
,,,4.0,,,4.0,4.0,,,,,,,,,,,,,,,
8.0,2.0,4.0,4.0,,2.0,2.0,4.0,6.0,,,,,,,,,,,,,,
,6.0,2.0,2.0,6.0,4.0,4.0,6.0,,,,,,,,,,,,,,,
